word,phonetic,meaning,category,example,exampleZh
dehydration n.,,脱水,健康,,
dementia n.,,痴呆,健康,,
deodorize vt.,,除臭,健康,,
dermatologist n.,,皮肤科医生,健康,,
dermatology n.,,皮肤病学,健康,,
diabetes n.,,糖尿病,健康,,
diagnosis n.,,诊断,健康,,
dialysis machine n.,,透析机,健康,,
diarrhea n.,,痢疾，腹泻,健康,,
die a grim death,,惨死,健康,,
diet plan n.,,食物计划,健康,,
dietitian n.,,营养专家,健康,,
dilated pupil examination n.,,瞳孔放大检查,健康,,
disinfectant n.,,消毒剂,健康,,
dizziness n.,,头昏眼花,健康,,
dose n.,,剂量,健康,,
dream cycle n.,,做梦周期,健康,,
dropsy n.,,水肿， 浮肿,健康,,
duodenal ulcer n.,,十二指肠溃疡,健康,,
dyspepsia n.,,消化不良,健康,,
eating disorder n.,,食欲紊乱,健康,,
elasticity n.,,弹力，弹性,健康,,
embryo n.,,胚胎,健康,,
embryology n.,,胚胎学,健康,,
epidemic adj.,,流行的， 传染的 n.时疫， 流行病,健康,,
epidemic encephalitis B n.,,流行性乙型脑炎,健康,,
epidemiology n.,,流行病学,健康,,
euthanasia / mercy killing n.,,安乐死,健康,,
extrovert n. /adj.,,性格外向的（人）,健康,,
fatal n.,,致命的,健康,,
fertilization n.,,授精,健康,,
fetus n.,,胎儿,健康,,
fever n.,,发烧,健康,,
fitness center n.,,健康中心,健康,,
fitness n.,,健康,健康,,
flatulence n.,,肠胃气胀,健康,,
flu shot n.（,,打）抗流感针,健康,,
foot -and- mouth disease n.,,口蹄疫,健康,,
fructose n.,,果糖,健康,,
fungus （pl. fungi） n.,,真菌,健康,,
futile adj.,,无效的,健康,,
gasp v.,,喘气，倒吸气,健康,,
genes n.,,基因,健康,,
genetic information n.,,遗传信息,健康,,
genome n.,,基因组,健康,,
germicide n.,,杀菌剂,健康,,
gestation n.,,怀孕,健康,,
GM food （genetically modified food） n,,转基因食品,健康,,
GMOs （Genetically Modified Organisms） n.,,转基因生物,健康,,
gingivitis n.,,齿龈炎,健康,,
gland n.,,腺,健康,,
glucose n.,,葡萄糖,健康,,
gum n.,,齿龈,健康,,
hair-raising adj.,,使人毛骨悚立的,健康,,
