word,phonetic,meaning,category,example,exampleZh
bacterium（Pl.bacteria） n.,,细菌,健康,,
balm n.,,止痛膏，香油,健康,,
behavioral therapy n.,,行为疗法,健康,,
belch n./v.,,打嗝,健康,,
bioengineering n.,,生物工程,健康,,
biologist n.,,生物学家,健康,,
bird flu n.,,禽流感,健康,,
bleeding n.,,出血,健康,,
blemish n.,,瑕疵，疤痕,健康,,
blister n.,,水泡,健康,,
blood circulation n.,,血液循环,健康,,
blood vessel n.,,血管,健康,,
bone marrow n.,,骨髓,健康,,
bronchitis n.,,支气管炎,健康,,
bruise n. / v.,,瘀伤， 擦伤， 青紫,健康,,
BSE （bovino spongiform encephalopathy） n.,,疯牛病,健康,,
burp n.,,饱嗝儿， 打嗝 v.打饱嗝,健康,,
callus n.,,老茧,健康,,
calorie n.,,卡路里,健康,,
cancer n.,,癌，毒瘤,健康,,
capillary n.,,毛细管,健康,,
carbohydrate n.,,碳水化合物,健康,,
cardiac adj./n.,,心脏（病）的,健康,,
cardiologist n.,,心脏病专家,健康,,
cataract n.,,白内障,健康,,
cellulite n.,,脂肪团块,健康,,
chest cavity n.,,胸腔,健康,,
chickenpox n.,,水痘,健康,,
cholera n.,,霍乱,健康,,
cholesterol n.,,胆固醇,健康,,
chronic adj.,,慢性的,健康,,
chronic asymptomatic HBV carriers,,慢性无症状乙型肝炎病毒携带者,健康,,
cirrhosis of liver n.,,肝硬化,健康,,
（masked palm） civet n.,,果子狸,健康,,
cleanse v.,,清洗， 净化,健康,,
colic n.,,绞痛，疝气,健康,,
coma n.,,昏迷,健康,,
comatose adj.,,昏睡的，昏迷不醒的,健康,,
communicable diseases,,传染病,健康,,
corona virus,,冠状病毒,健康,,
condom n.,,安全套,健康,,
congenital defects n.,,先天性缺陷,健康,,
contagious adj.,,传染性的,健康,,
contraceptive coil n.,,避孕环,健康,,
convulsion n.,,惊厥， 痉挛,健康,,
coronary disease n.,,冠心病,健康,,
cough v./n.,,咳嗽,健康,,
coughing fit n.,,咳嗽发作,健康,,
craving n.,,强烈的愿望,健康,,
dandruff n.,,头皮屑,健康,,
deadly adj.,,致命的,健康,,
debilitate vt.,,使衰弱， 使虚弱,健康,,
